bar       MEI n   from mm   how
Auftakt       1    1438.2   beat 1, 1 note(s)
1             2    1475.1   beat 1, 2 note(s)
2             3    1688.0   beat 1, 1 note(s)
3             4    1943.3   beat 1, 3 note(s)
4             5    2189.1   beat 1, 3 note(s)
5             6    2415.5   beat 1, 2 note(s)
6             7    2619.7   beat 1, 1 note(s)
7             8    2859.8   beat 1, 3 note(s)
8             9    3106.1   beat 1, 4 note(s)
1′            2    3417.1   beat 1, 2 note(s)
2′            3    3624.6   beat 1, 1 note(s)
3′            4    3873.3   beat 1, 3 note(s)
4′            5    4105.7   beat 1, 3 note(s)
5′            6    4326.6   beat 1, 2 note(s)
6′            7    4552.0   beat 1, 1 note(s)
7′            8    4824.0   beat 1, 3 note(s)
8′            9    5085.2   beat 1, 4 note(s)
9            10    5371.8   beat 1, 2 note(s)
10           11    5585.5   beat 1, 1 note(s)
11           12    5787.7   beat 1, 2 note(s)
12           13    5993.5   beat 1, 3 note(s)
13           14    6229.2   beat 1, 2 note(s)
14           15    6458.8   beat 1, 1 note(s)
15           16    6675.8   beat 1, 3 note(s)
16           17    6919.4   beat 1, 3 note(s)
17           18    7259.8   beat 1, 1 note(s)
18           19    7482.9   beat 1, 1 note(s)
19           20    7744.2   beat 1, 3 note(s)
20           21    8010.8   beat 1, 4 note(s)
21           22    8265.0   beat 1, 2 note(s)
22           23    8498.6   beat 1, 1 note(s)
23           24    8872.5   beat 1, 4 note(s)
24           25    9275.1   beat 1, 4 note(s)
