phillipsR bass A {'cv': 0.011, 'r2': 0.0394, 'map': 'sqrt', 'soft': 0.0, 'slow': np.float64(1.265), 'decay': np.float64(1.12), 'fast': 3.0, 'fast_decay': 3.0} 0.4s
phillipsR bass B {'cv': 0.519, 'r2': 0.5918, 'map': 'linear', 'soft': 0.0, 'slow': np.float64(0.158), 'decay': np.float64(0.158), 'fast': 3.0, 'fast_decay': 6.0} 0.4s
phillipsR bass B1 {'cv': 0.5504, 'r2': 0.6144, 'map': 'linear', 'soft': 0.0, 'slow': np.float64(0.158), 'decay': np.float64(0.158), 'fast': 3.0, 'fast_decay': 6.0} 0.4s
phillipsR bass C {'cv': 0.8562, 'r2': 0.8711, 'map': 'linear', 'soft': 0.0, 'slow': np.float64(0.158), 'decay': np.float64(0.158), 'fast': 3.0, 'fast_decay': 3.0} 0.4s
phillipsR bass A1 {'cv': 0.2013, 'r2': 0.2458, 'map': 'linear', 'soft': 0.15, 'slow': np.float64(1.6), 'decay': np.float64(0.3), 'fast': 3.0, 'fast_decay': 3.0} 0.4s
phillipsR treble A {'cv': 0.051, 'r2': 0.1121, 'map': 'sqrt', 'soft': 0.111, 'slow': 0.45, 'decay': 0.12, 'fast': 3.0, 'fast_decay': 3.0} 0.4s
phillipsR treble B {'cv': 0.4859, 'r2': 0.4914, 'map': 'linear', 'soft': 0.04, 'slow': 0.2, 'decay': 0.2, 'fast': 3.0, 'fast_decay': 1.5} 0.4s
phillipsR treble B1 {'cv': 0.4859, 'r2': 0.4914, 'map': 'linear', 'soft': 0.04, 'slow': 0.2, 'decay': 0.2, 'fast': 3.0, 'fast_decay': 1.5} 0.4s
phillipsR treble C {'cv': 0.5037, 'r2': 0.5114, 'map': 'linear', 'soft': 0.04, 'slow': 0.3, 'decay': 0.3, 'fast': 6.0, 'fast_decay': 12.0} 0.4s
phillipsR treble A1 {'cv': 0.1933, 'r2': 0.2534, 'map': 'sqrt', 'soft': 0.111, 'slow': np.float64(0.885), 'decay': np.float64(1.6), 'fast': 12.0, 'fast_decay': 1.5} 0.4s
chaseEmR bass A {'cv': 0.0825, 'r2': 0.1761, 'map': 'linear', 'soft': 0.111, 'slow': np.float64(0.075), 'decay': np.float64(1.6), 'fast': 3.0, 'fast_decay': 3.0} 0.4s
chaseEmR bass B {'cv': 0.9078, 'r2': 0.9279, 'map': 'linear', 'soft': 0.111, 'slow': np.float64(0.237), 'decay': np.float64(0.2), 'fast': 3.0, 'fast_decay': 6.0} 0.4s
chaseEmR bass B1 {'cv': 0.9163, 'r2': 0.9332, 'map': 'linear', 'soft': 0.111, 'slow': np.float64(0.237), 'decay': np.float64(0.2), 'fast': 3.0, 'fast_decay': 6.0} 0.4s
chaseEmR bass C {'cv': 0.9523, 'r2': 0.9542, 'map': 'linear', 'soft': 0.111, 'slow': np.float64(0.3), 'decay': np.float64(0.253), 'fast': 3.0, 'fast_decay': 3.0} 0.4s
chaseEmR bass A1 {'cv': 0.4551, 'r2': 0.5362, 'map': 'linear', 'soft': 0.15, 'slow': np.float64(1.12), 'decay': np.float64(0.3), 'fast': 3.0, 'fast_decay': 3.0} 0.4s
chaseEmR treble A {'cv': 0.3573, 'r2': 0.4397, 'map': 'linear', 'soft': 0.15, 'slow': np.float64(0.45), 'decay': np.float64(0.12), 'fast': 0.8, 'fast_decay': 0.8} 0.4s
chaseEmR treble B {'cv': 0.8309, 'r2': 0.8328, 'map': 'linear', 'soft': 0.15, 'slow': 0.2, 'decay': 0.2, 'fast': 3.0, 'fast_decay': 3.0} 0.4s
chaseEmR treble B1 {'cv': 0.8309, 'r2': 0.8328, 'map': 'linear', 'soft': 0.15, 'slow': 0.2, 'decay': 0.2, 'fast': 3.0, 'fast_decay': 3.0} 0.4s
chaseEmR treble C {'cv': 0.8331, 'r2': 0.8383, 'map': 'power', 'soft': 0.15, 'slow': np.float64(0.379), 'decay': np.float64(0.3), 'fast': 6.0, 'fast_decay': 12.0} 0.4s
chaseEmR treble A1 {'cv': 0.5312, 'r2': 0.5556, 'map': 'sqrt', 'soft': 0.15, 'slow': 0.45, 'decay': 0.45, 'fast': 0.8, 'fast_decay': 3.0} 0.4s
