druid,welte,punched,machine,punch_mm,advance_mm,pitch_mm
fj448by1666,1474,1904-08-08,wide,2.101,,2.834
rv790qz2532,226,1904-12-20,wide,,,2.792
cp145vd3423,1382,1907-01-20,wide,2.257,,2.867
rp146dk0477,1352,1907-03-04,wide,2.419,,2.916
mf940cg4339,1468,1907-04-23,wide,2.368,,2.875
sr504pc8797,376,1907-10-05,wide,1.984,,2.808
dp563zh2166,492,1907-12-27,wide,2.205,,2.986
yr287jf4422,144,1908-04-01,wide,,,2.819
yg150mb0559,207,1908-04-01,wide,,,2.82
wb381qd3151,330,1908-04-04,wide,2.068,,3.027
mv259zt7103,325,1908-10-29,wide,2.122,,2.852
vm096df0179,363,1908-11-07,wide,2.149,,2.833
qq244fh1388,669,1908-11-16,wide,2.079,,2.834
mh255vw4599,1276,1908-11-20,wide,2.227,0.998,3.02
ww627mg3287,1035,1908-11-26,wide,2.19,1.024,3.003
td134mh2760,660,1908-12-07,wide,2.185,1.022,3.018
gq898yv9510,665,1908-12-07,wide,2.171,1.016,3.008
ch197br4742,881,1908-12-21,wide,2.179,1.007,3.001
ps108fn1431,1288,1909-01-07,wide,2.157,,2.821
mf320jq4997,225,1909-01-18,wide,,1.027,3.001
sq235zh0909,612,1909-01-19,wide,2.386,,3.03
dw005gw3358,1450,1909-01-19,wide,2.209,1.005,2.991
yn137rt9938,1305,1909-02-09,wide,2.183,1.007,2.997
jn782fq7439,134,1909-02-18,wide,,,3.083
qq914np5449,324,1909-03-05,wide,2.266,,2.935
dc021nq1464,1263,1909-03-06,wide,2.082,,2.942
dj406yq6980,663,1909-03-16,wide,2.301,,2.911
vm351pv9656,253,1909-03-25,wide,2.267,1.022,2.995
hm523dq5554,876,1909-03-26,wide,2.266,,2.83
kg488qt3887,1447,1909-05-06,wide,2.187,,2.839
wj488tq5861,1338,1909-06-22,wide,2.225,,2.991
fv104hn7521,304,1909-10-08,wide,,,2.996
mz508vq7890,232,1909-10-12,wide,,,2.921
pj688nx2384,1464,1909-11-04,wide,2.148,1.005,3.01
ps751km7125,814,1909-12-13,wide,2.101,,2.978
rb625rv7300,569,1909-12-16,wide,2.172,1.001,3.026
nk632jz1564,501,1910-01-04,wide,2.287,,3.03
ys288dd6430,118,1910-04-14,wide,2.361,,3.05
bp952tr1116,399,1910-04-19,wide,2.067,,2.968
tj337qh7786,1211,1910-05-21,wide,2.139,0.51,3.053
zw485gh6070,1184,1910-08-03,wide,2.239,,3.025
bj606rp8160,367,1910-09-14,wide,2.189,0.508,3.045
hh466mq4616,296,1910-11-03,wide,2.189,,3.074
xx912rs1788,1346,1910-11-12,wide,2.141,0.508,3.067
qj203cn5343,1959,1910-11-24,wide,2.238,,3.01
jt308hp0877,2198,1910-12-02,wide,2.221,,3.036
rt308hy9235,646,1910-12-08,wide,2.156,0.51,3.052
gx118hr0306,1957,1911-01-10,wide,2.056,0.497,3.025
sj250cc6451,277,1911-01-12,wide,,0.503,3.066
dq276yn8963,1945,1911-02-01,wide,2.287,,3.037
nf274ng7905,209,1911-04-01,wide,,0.504,3.039
wp442mf3514,1216,1911-04-25,wide,2.362,,2.986
xc665jf8254,719,1911-04-27,wide,2.126,,3.019
gm170gy7498,239,1911-06-24,wide,2.12,0.51,3.064
sc188ff2842,1260,1911-07-21,wide,2.191,,2.981
jh696my0069,1765,1911-08-23,narrow,1.841,0.521,2.592
vf252dc4872,1697,1911-08-24,narrow,1.882,0.499,2.503
vb685pd6967,192,1911-10-10,wide,2.182,0.489,2.995
wj177bx9196,931,1911-11-09,wide,2.061,,2.975
dc661yr7679,1085,1911-11-11,wide,2.184,0.496,2.99
zx463rv8885,265,1911-11-24,wide,2.264,,2.962
vw531zy4220,1663,1911-12-18,wide,2.221,,2.972
gs573tj9547,1328,1912-01-29,wide,2.359,,2.982
st755cm2486,390,1912-04-17,wide,2.027,0.495,3.003
fn111kx0654,1213,1912-04-18,wide,2.104,0.501,3.002
dt352gh2011,2457,1912-05-20,wide,2.029,0.496,3.005
xp003dy0437,882,1912-05-31,wide,2.25,,3.022
ht339gy6128,2313,1912-06-15,wide,2.012,0.497,3.007
pr464zk8674,1567,1912-06-18,wide,2.008,0.498,3.017
sb487jm2092,1262,1912-06-20,wide,2.231,0.5,2.987
pv279zy5193,1505,1912-06-28,wide,2.396,,3.039
gz430tm0196,844,1912-08-22,wide,2.077,0.497,3.026
jm300wy4714,2622,1912-08-22,wide,2.002,0.498,3.003
kg263bn9176,373,1912-10-19,wide,2.193,0.498,3.002
bq744nq5945,1462,1913-02-18,wide,2.24,,3.043
kx034vy1374,362,1913-03-01,wide,2.124,0.499,3.008
ky458kj7325,2882,1913-05-13,wide,1.974,0.496,2.983
ts972sy8288,1196,1913-07-18,wide,2.074,0.498,2.997
gg920pz0818,415,1913-08-05,wide,2.037,0.498,3.009
ng103jj1150,570,1913-09-04,wide,2.145,,3.008
hg709nf1997,3019,1913-09-20,narrow,1.832,,2.507
cw427tw4145,2000,1913-09-30,wide,2.183,,3.044
nq087cp3030,120,1913-10-24,wide,,,3.013
hg282mg9396,1033,1913-12-06,wide,2.156,0.503,3.026
jg717nb8731,2703,1913-12-18,wide,2.22,,3.013
jf942gh3232,258,1913-12-27,wide,2.259,0.499,2.996
wv912mm2332,225,1914-01-14,wide,2.235,0.503,2.999
tt435dd2897,326,1914-01-26,wide,2.05,0.5,3.002
xm993qd2681,1247,1914-02-24,narrow,1.757,0.506,2.512
qv334zb6243,1254,1914-03-06,wide,2.09,0.499,3.005
pz175wg5571,1447,1914-04-24,narrow,1.686,0.503,2.506
rt595wj4442,28,1914-04-27,narrow,1.831,0.501,2.504
yx139bt6626,292,1914-06-25,narrow,1.795,0.501,2.502
vz717bq6543,1480,1914-08-19,narrow,1.744,0.496,2.502
zc614qh7060,545,1915-05-28,narrow,1.716,0.518,2.615
vj052cw2158,1534,1916-02-01,wide,2.194,0.499,3.027
vq976gr5492,767,1916-11-14,narrow,1.738,0.518,2.595
fb100cb2366,2948,1917-04-27,narrow,1.751,0.519,2.609
yw484ky7093,589,1917-06-04,wide,2.155,0.491,2.988
pc364sy7115,2609,1917-09-19,wide,2.207,0.496,2.984
dy191sv5188,2261,1918-01-08,narrow,1.716,0.497,2.513
qp506dy4541,1398,1918-08-20,narrow,1.759,0.499,2.509
xg670df7262,2466,1919-08-29,narrow,1.814,0.492,2.504
ps656vb4839,2086,1919-09-05,narrow,1.858,0.499,2.502
sk925fn6049,2021,1919-10-11,narrow,1.827,0.521,2.613
xh403hj3866,384,1919-11-18,narrow,1.848,0.496,2.484
pv151xx7555,1083,1919-12-17,narrow,1.722,0.52,2.615
sn610pr8684,3184,1919-12-23,narrow,1.822,0.5,2.508
kj388dj3308,2079,1920-01-07,narrow,1.715,0.52,2.602
bg098gg3899,494,1920-01-23,narrow,1.667,0.494,2.491
bs533ns1949,3398,1920-02-05,narrow,1.666,0.52,2.611
yr522jf5585,1478,1920-04-30,narrow,1.728,0.498,2.507
vs059bb4318,104,1920-07-10,narrow,1.839,0.522,2.601
fk960pq3086,2995,1920-10-19,narrow,1.705,0.499,2.5
cw378sb0125,2538,1920-11-05,narrow,1.69,0.521,2.605
pb026mb0704,921,1920-12-13,narrow,1.726,0.498,2.518
sj617nc3041,2543,1921-04-01,narrow,1.882,0.52,2.597
rf416pb7833,3452,1921-04-08,narrow,1.86,0.517,2.603
rc749wx0227,1471,1921-09-01,narrow,1.829,0.491,2.506
tr243mz6407,2540,1921-10-04,narrow,1.832,0.5,2.484
nq190zp1066,1341,1921-12-21,narrow,1.803,0.494,2.506
ry948sf9078,1032,1922-02-07,narrow,1.664,0.522,2.612
xg924dm1245,3430,1922-02-13,narrow,1.649,0.493,2.505
jb107tz1859,1772,1922-02-23,narrow,1.83,0.519,2.606
ds710xd1794,1773,1922-02-23,narrow,1.765,0.519,2.588
hy749gh2331,2086,1922-02-24,narrow,1.692,0.506,2.509
wg598sj1504,2621,1922-04-04,narrow,1.735,0.499,2.513
wk320bj4724,322,1922-04-10,narrow,1.737,,2.43
jw822wm2644,1275,1922-04-25,wide,2.428,,3.004
ft746ns5736,1253,1922-04-26,narrow,1.834,0.495,2.497
gc795vb4435,1319,1922-04-26,narrow,1.692,0.495,2.479
zc118hn1152,2995,1922-04-28,narrow,1.723,0.492,2.47
rp390kt0160,879,1922-05-14,narrow,1.74,0.498,2.516
py987gg6088,57,1922-05-16,narrow,,0.515,2.601
hk155fw7898,1005,1922-05-19,narrow,1.7,0.499,2.482
hx789sg2918,3376,1922-05-26,narrow,1.733,0.497,2.501
xw872bc8052,321,1922-06-02,narrow,1.722,0.498,2.506
nn203bm7432,1347,1922-06-04,narrow,1.646,0.52,2.589
kw738fg7467,2588,1922-06-08,narrow,1.716,0.496,2.474
wn516xn5163,2430,1922-06-29,narrow,1.672,,2.427
xn585zh2707,2805,1922-07-06,narrow,1.773,,2.518
gs556hk6631,366,1922-07-18,narrow,1.674,0.5,2.513
rb861vm6094,3056,1922-07-18,narrow,1.742,0.52,2.595
jn038xx9588,1348,1922-07-28,narrow,1.727,0.52,2.595
vy941zv8672,470,1922-07-31,narrow,1.837,0.498,2.503
ps931qh5746,2591,1922-08-01,narrow,1.769,0.488,2.451
xj540rr2929,1208,1922-08-03,narrow,1.82,0.491,2.463
gm296rz0673,3055,1922-08-11,narrow,1.815,0.5,2.506
mx599qs6329,40,1922-08-12,narrow,1.7,0.52,2.583
zt739gs4926,321,1922-09-04,narrow,1.843,0.498,2.506
nq628rc4181,83,1922-09-14,narrow,1.606,,2.483
jf649gs2184,936,1922-09-14,narrow,1.754,0.5,2.522
qc650tp0469,371,1922-09-22,narrow,1.826,0.52,2.596
hn285vs3930,1064,1922-10-09,narrow,1.749,0.519,2.599
wk295jd5289,527,1922-10-16,narrow,1.847,0.521,2.584
rs765sm2000,2822,1922-10-23,narrow,1.809,0.516,2.584
kz379jn2491,570,1922-10-25,narrow,1.691,0.521,2.585
kt852zf4103,137,1922-10-31,narrow,,0.492,2.496
kx293yk2859,1996,1922-10-31,narrow,1.875,0.492,2.519
qz671pq0609,372,1922-11-09,narrow,1.68,0.52,2.607
mj416dn1432,594,1922-11-15,narrow,1.678,0.519,2.604
hc909pp9868,371,1922-11-20,narrow,1.653,,2.514
jq774vx6544,3309,1922-11-22,narrow,1.765,0.491,2.491
rv766dc1369,3328,1922-11-22,narrow,1.712,0.501,2.514
jk702cg2022,1466,1922-11-23,narrow,1.691,0.499,2.515
qf640sj3141,2159,1922-11-23,narrow,1.653,0.493,2.487
yx536mq2915,365,1922-11-29,narrow,1.705,0.494,2.476
qv976bq3639,3791,1922-12-11,narrow,1.661,0.521,2.588
yj598pj2879,360,1922-12-21,narrow,1.826,0.495,2.498
kf903tz5142,3312,1922-12-28,narrow,1.67,0.519,2.609
qm069fy5200,3332,1923-01-06,narrow,1.76,0.499,2.508
ws250sr1272,2739,1923-01-10,narrow,1.77,0.499,2.51
ym773gh2267,1478,1923-01-18,narrow,1.74,0.502,2.511
kw215gn3365,3357,1923-02-08,narrow,1.704,,2.513
hh429fw8081,274,1923-03-15,narrow,1.821,0.519,2.629
xy699sy1462,1324,1923-03-16,narrow,1.848,0.5,2.482
cd435bw2771,2539,1923-03-24,narrow,1.814,0.518,2.608
dp497dz1055,469,1923-03-26,narrow,1.768,0.518,2.62
np204br1080,2844,1923-04-13,narrow,1.681,0.495,2.479
kq525dc4373,1755,1923-05-30,narrow,1.803,0.521,2.603
jk211zx0169,525,1923-06-19,narrow,1.76,0.5,2.502
sk832rf0203,2388,1923-07-27,narrow,1.821,0.501,2.497
dw559kr7002,1472,1923-08-02,narrow,1.815,0.519,2.606
bf074nj8801,1473,1923-08-04,narrow,1.786,0.493,2.498
ns598kr8616,1474,1923-10-24,narrow,1.677,0.499,2.518
vj076nk8220,1213,1923-11-08,narrow,1.703,0.524,2.59
hj604wr7502,1526,1923-11-14,narrow,1.74,0.52,2.591
ct503bz7189,3842,1923-11-21,narrow,1.84,0.499,2.49
qp421cd7297,2613,1923-11-22,narrow,1.77,0.519,2.604
sz207mm8382,1296,1924-01-07,narrow,1.72,0.502,2.519
dz112ky5575,2312,1924-01-08,narrow,1.823,0.498,2.514
ks452px2704,2314,1924-01-21,narrow,1.67,0.499,2.523
pc276zv7038,2260,1924-01-26,narrow,1.72,0.519,2.609
tx963yw9164,807,1924-02-15,narrow,1.665,0.501,2.513
gq401ng9171,3309,1924-03-13,narrow,1.722,0.52,2.607
pk245pq3468,1340,1924-03-28,narrow,1.703,0.501,2.517
gr136pc5388,3331,1924-03-31,narrow,1.795,0.518,2.611
hg174cq6672,757,1924-04-23,narrow,1.748,0.515,2.617
zk440mh1715,757,1924-04-23,narrow,1.756,0.514,2.606
wz719qg6993,441,1924-05-08,narrow,1.788,0.499,2.502
zw755dp8285,483,1924-07-05,narrow,1.785,0.497,2.512
fg074rf2950,2386,1924-07-25,narrow,1.782,0.5,2.511
st828pc9818,364,1924-07-28,narrow,1.735,0.501,2.514
np829dt9039,1386,1924-08-21,narrow,1.765,0.5,2.51
bs173rx9307,188,1924-09-19,narrow,1.689,0.499,2.505
kx695yq4528,1301,1924-09-23,narrow,1.785,0.496,2.513
gy310qs3678,2987,1924-09-24,narrow,1.786,0.5,2.515
mg285ps6787,1352,1924-10-06,narrow,1.684,0.501,2.519
hc229ht1024,1249,1924-10-07,narrow,1.808,0.501,2.51
tb323rh4122,3031,1924-10-09,narrow,1.717,0.5,2.507
tx437pj1389,1108,1924-10-10,narrow,1.703,0.52,2.601
tw054jm0773,1339,1924-10-21,narrow,1.681,0.497,2.506
vp438dy0628,3356,1924-10-29,narrow,1.683,0.52,2.606
rd899zb5188,5608,1924-11-08,narrow,1.705,0.498,2.51
jd143sb1087,5553,1924-11-09,narrow,1.686,0.52,2.596
gf160gq3516,2979,1924-11-12,narrow,1.689,0.519,2.606
wp666fn2104,5537,1924-11-14,narrow,1.782,0.491,2.51
nw765mr4994,3790,1924-11-15,narrow,1.688,0.497,2.51
qd784zj3903,3310,1924-11-25,narrow,1.811,0.498,2.499
bj093nh2591,28,1924-12-08,narrow,1.766,0.498,2.499
kr397bv2881,562,1924-12-09,narrow,1.814,0.496,2.507
bz327kz4744,5634,1924-12-12,narrow,,0.5,2.503
ph502kz9777,270,1924-12-15,narrow,1.768,0.522,2.602
fm197wc9522,2908,1925-01-14,narrow,1.703,0.5,2.505
sw740gd4329,76,1925-01-27,narrow,,0.502,2.522
hx184ww0780,10,1925-01-28,narrow,,0.496,2.509
rk591jt8964,1148,1925-01-29,narrow,1.689,0.499,2.519
gf569df0451,361,1925-02-09,narrow,1.67,0.5,2.509
ym117yd8356,1670,1925-02-14,narrow,1.681,0.497,2.509
jt465zc6779,5658,1925-03-01,narrow,1.679,0.503,2.513
zp866tm4852,3310,1925-03-08,narrow,1.645,0.497,2.494
xg976jt9573,5521,1925-04-01,narrow,1.852,0.499,2.509
my670qk6863,2673,1925-04-15,narrow,1.784,0.503,2.517
zf673fy4620,2068,1925-05-26,narrow,1.772,0.502,2.499
ws749sk4778,1203,1925-08-15,narrow,1.733,0.5,2.498
zv884mc0794,1259,1925-08-29,narrow,1.798,0.517,2.602
vy193qr6005,2988,1925-10-16,narrow,1.76,0.521,2.601
xr433hz5827,5718,1925-10-24,narrow,1.613,0.497,2.504
qk926qc7779,5728,1925-10-27,narrow,1.826,0.492,2.501
dc920rk8870,2733,1925-11-09,narrow,1.762,0.517,2.609
hk752ck1008,3330,1925-11-16,narrow,1.692,0.521,2.595
fn744pq2157,1990,1925-11-20,narrow,1.733,0.52,2.611
cw965qx3168,5661,1925-11-21,narrow,1.788,0.52,2.594
pp798fc0175,5667,1925-11-21,narrow,1.766,0.52,2.589
ys250pr2232,5736,1925-11-21,narrow,1.623,0.497,2.511
sc787kg5664,1654,1925-12-14,narrow,1.793,0.502,2.506
zk082zq3962,5707,1926-01-25,narrow,1.837,0.501,2.503
kt780tm7975,568,1926-01-26,narrow,1.705,0.493,2.484
mh156nr8259,1442,1926-10-10,narrow,1.846,0.521,2.597
ty382mw3181,3026,1927-12-14,narrow,1.852,0.522,2.598
md908xy8241,5551,1927-12-18,narrow,1.811,0.522,2.599
rx933wn3761,2537,1928-01-12,narrow,1.789,0.501,2.523
yk645sm6970,5905,1928-01-18,narrow,1.782,0.52,2.594
ft113cg5195,2810,1928-04-16,narrow,1.777,0.521,2.605
rg931dy5023,2944,1928-04-19,narrow,1.777,0.499,2.501
pf050rx0162,2254,1928-04-21,narrow,1.812,0.501,2.519
cm852bp8620,3313,1928-05-21,narrow,1.826,0.5,2.51
qw257qp8232,690,1928-06-05,narrow,1.763,0.502,2.506
pk349zj4179,797,1928-06-19,narrow,1.658,0.498,2.509
